title,location,division,url
Principal Enterprise Architect,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13741067/principal-enterprise-architect-atlanta-ga/
Beat Reporter - Education,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13788633/beat-reporter-education-atlanta-ga/
Senior Software Test Engineer,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13764017/senior-software-test-engineer-atlanta-ga/
Principal Software Engineer,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13760018/principal-software-engineer-atlanta-ga/
Senior Platform Engineer,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13757442/senior-platform-engineer-remote/
"Senior Analyst, Process Improvement, Order-to-Cash (OTC)","Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13732614/senior-analyst-process-improvement-order-to-cash-otc-atlanta-ga/
Senior Release Train Engineer,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13658398/senior-release-train-engineer-atlanta-ga/
Release Train Engineer II,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13656115/release-train-engineer-ii-atlanta-ga/
"Senior Billing Analyst, Margin Assurance","Dallas, TX",Cox Automotive,https://jobs.coxenterprises.com/job/13599843/senior-billing-analyst-margin-assurance-dallas-tx/
Senior Software Engineer,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13564747/senior-software-engineer-atlanta-ga/
Release Engineer,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13535749/release-engineer-atlanta-ga/
Software Test Engineer II - .NET,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13446732/software-test-engineer-ii-net-atlanta-ga/
Senior Product Manager,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13267551/senior-product-manager-atlanta-ga/
Senior Cloud Developer,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/12485247/senior-cloud-developer-atlanta-ga/
Senior Software Test Engineer,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/12414912/senior-software-test-engineer-atlanta-ga/
Service Assurance Tech III (NOC as a Service),"Phoenix, AZ",Cox Communications Inc,https://jobs.coxenterprises.com/job/13817109/service-assurance-tech-iii-noc-as-a-service-phoenix-az/
Data Analyst I,"Phoenix, AZ",Cox Communications Inc,https://jobs.coxenterprises.com/job/14018894/data-analyst-i-remote/
Data Analyst III,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/14016697/data-analyst-iii-atlanta-ga/
Cloud Sales Consultant II,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/14010537/cloud-sales-consultant-ii-atlanta-ga/
Media Operations Tech II - Cox Media,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/14010529/media-operations-tech-ii-cox-media-atlanta-ga/
Executive Assistant II,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/14001474/executive-assistant-ii-atlanta-ga/
Strategic Workforce Plan Manager,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13871234/strategic-workforce-plan-manager-atlanta-ga/
Litigation Paralegal,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13923339/litigation-paralegal-atlanta-ga/
Data Analyst III,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13646574/data-analyst-iii-remote/
Designer,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13749296/designer-atlanta-ga/
Payroll Specialist,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13741050/payroll-specialist-atlanta-ga/
"Internal Consultant, Rotational Leadership Development Program (LEAD)","Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13658397/internal-consultant-rotational-leadership-development-program-lead-atlanta-ga/
Designer,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13621730/designer-remote/
"Senior Accounting Analyst, Enterprise Accounting","Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13175785/senior-accounting-analyst-enterprise-accounting-atlanta-ga/
Senior Learning Advisor-Cox Business Product Support,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/14020949/senior-learning-advisor-cox-business-product-support-remote/
Technical Recruiter,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/14018902/technical-recruiter-atlanta-ga/
Lead Analytics Engineer,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13579847/lead-analytics-engineer-atlanta-ga/
"Associate Product Manager, Cox Business Install","Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/14010531/associate-product-manager-cox-business-install-atlanta-ga/
Salesforce Analyst - Cox Business Enablement,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/14010535/salesforce-analyst-cox-business-enablement-atlanta-ga/
Senior Recruiter - B2B Sales,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/14010521/senior-recruiter-b2b-sales-remote/
