"935 Rice St NW, Atlanta, GA 30318","$399,100","1,404",SingleFamilyResidence,935 Rice St NW,Atlanta,GA,30318,33.780512,-84.426922,https://www.zillow.com/homedetails/935-Rice-St-NW-Atlanta-GA-30318/35916580_zpid/
"1714 Defoors Walk NW, Atlanta, GA 30318","$374,900","1,715",SingleFamilyResidence,1714 Defoors Walk NW,Atlanta,GA,30318,33.807555,-84.42601,https://www.zillow.com/homedetails/1714-Defoors-Walk-NW-Atlanta-GA-30318/35916254_zpid/
"215 Hamden Trce SW, Atlanta, GA 30331","$1,050,000","8,020",SingleFamilyResidence,215 Hamden Trce SW,Atlanta,GA,30331,33.724132,-84.542651,https://www.zillow.com/homedetails/215-Hamden-Trce-SW-Atlanta-GA-30331/2068833785_zpid/
"3278 Welmingham Dr SW, Atlanta, GA 30331","$215,000","1,602",SingleFamilyResidence,3278 Welmingham Dr SW,Atlanta,GA,30331,33.661596,-84.518301,https://www.zillow.com/homedetails/3278-Welmingham-Dr-SW-Atlanta-GA-30331/82618782_zpid/
"1280 W Peachtree St NW Apt 2504, Atlanta, GA 30309","$200,000",645,SingleFamilyResidence,1280 W Peachtree St NW APT 2504,Atlanta,GA,30309,33.789712,-84.388116,https://www.zillow.com/homedetails/1280-W-Peachtree-St-NW-APT-2504-Atlanta-GA-30309/2136569254_zpid/
"362 Mell Ave NE, Atlanta, GA 30307","$650,000",,SingleFamilyResidence,362 Mell Ave NE,Atlanta,GA,30307,33.764151,-84.337349,https://www.zillow.com/homedetails/362-Mell-Ave-NE-Atlanta-GA-30307/14468907_zpid/
"1112 Cordia Ave NW, Atlanta, GA 30318","$950,000","3,750",SingleFamilyResidence,1112 Cordia Ave NW,Atlanta,GA,30318,33.813086,-84.422104,https://www.zillow.com/homedetails/1112-Cordia-Ave-NW-Atlanta-GA-30318/249123040_zpid/
"1559 Overland Ter SE, Atlanta, GA 30317","$640,000","2,200",SingleFamilyResidence,1559 Overland Ter SE,Atlanta,GA,30317,33.741704,-84.326546,https://www.zillow.com/homedetails/1559-Overland-Ter-SE-Atlanta-GA-30317/2076859998_zpid/
"525 Woodward Way NW, Atlanta, GA 30305","$2,249,500","4,435",SingleFamilyResidence,525 Woodward Way NW,Atlanta,GA,30305,33.820857,-84.40511,https://www.zillow.com/homedetails/525-Woodward-Way-NW-Atlanta-GA-30305/35907974_zpid/
"1472 Liberty Pkwy NW, Atlanta, GA 30318","$315,000","1,326",SingleFamilyResidence,1472 Liberty Pkwy NW,Atlanta,GA,30318,33.816939,-84.439563,https://www.zillow.com/homedetails/1472-Liberty-Pkwy-NW-Atlanta-GA-30318/88812443_zpid/
"19 Normandy Ct NE, Atlanta, GA 30324","$315,000","1,550",SingleFamilyResidence,19 Normandy Ct NE,Atlanta,GA,30324,33.830919,-84.354514,https://www.zillow.com/homedetails/19-Normandy-Ct-NE-Atlanta-GA-30324/35935678_zpid/
"4329 Chastain Walk NE, Atlanta, GA 30342","$260,000","1,260",SingleFamilyResidence,4329 Chastain Walk NE,Atlanta,GA,30342,33.874447,-84.381801,https://www.zillow.com/homedetails/4329-Chastain-Walk-NE-Atlanta-GA-30342/2129962203_zpid/
"913 Ridge Ave NW, Atlanta, GA 30318","$284,500","1,540",SingleFamilyResidence,913 Ridge Ave NW,Atlanta,GA,30318,33.780064,-84.469518,https://www.zillow.com/homedetails/913-Ridge-Ave-NW-Atlanta-GA-30318/82390043_zpid/
"3777 Peachtree Rd NE Apt 414, Brookhaven, GA 30319","$209,900",919,SingleFamilyResidence,3777 Peachtree Rd NE APT 414,Brookhaven,GA,30319,33.856569,-84.348665,https://www.zillow.com/homedetails/3777-Peachtree-Rd-NE-APT-414-Brookhaven-GA-30319/2088057596_zpid/
"244 13th St NE Unit 304, Atlanta, GA 30309","$335,000","1,165",SingleFamilyResidence,244 13th St NE UNIT 304,Atlanta,GA,30309,33.785928,-84.379879,https://www.zillow.com/homedetails/244-13th-St-NE-UNIT-304-Atlanta-GA-30309/2068361489_zpid/
"1552 Dodson Dr SW, Atlanta, GA 30311","$215,500","1,344",SingleFamilyResidence,1552 Dodson Dr SW,Atlanta,GA,30311,33.713458,-84.473296,https://www.zillow.com/homedetails/1552-Dodson-Dr-SW-Atlanta-GA-30311/35862424_zpid/
